customer_id,customer_name,gender,birth_date,email_address,country,zip_code,street,street_number
1,Daniel Alexander,Female,1976-03-15,daniel.alexander@yahoo.com,Germany,58892,Bremer Straße,1
2,Daniel Huber,Male,1992-11-23,daniel.huber@gmx.de,Germany,31252,Pine Street,8
3,Harper Wood,Male,1978-12-10,harper.wood@gmail.com,Germany,78090,Chestnut Street,1
4,Aiden Richardson,Female,1993-10-23,aiden.richardson@outlook.com,Germany,36933,Oak Street,7
5,Mason Rogers,Male,1987-07-02,mason.rogers@gmx.de,Germany,39346,Cypress Street,15
6,Ethan Baker,Male,1972-09-04,ethan.baker@gmx.de,Germany,61551,Bahnhofstraße,19
7,Avery Mayer,Female,1976-12-24,avery.mayer@web.de,Germany,48601,Lake Street,20
8,Emma Evans,-,1988-10-15,emma.evans@gmx.de,Germany,93356,Beechwood Street,9
9,Sarah Miller,-,1980-05-07,sarah.miller@gmx.de,Germany,41588,Walnut Street,9
10,Noah Wood,Male,1987-07-10,noah.wood@gmail.com,Germany,86576,Maple Avenue,3
11,Sarah Roberts,-,1972-05-19,sarah.roberts@outlook.com,Germany,20993,Dortmunder Straße,16
12,Mason Carter,-,1973-12-21,mason.carter@gmx.de,Germany,74677,Wilhelmstraße,10
13,Evelyn Nelson,Female,1984-03-27,evelyn.nelson@web.de,Germany,81660,Willowbrook Drive,3
14,Lucas Becker,Male,1989-12-21,lucas.becker@outlook.com,Germany,32944,Laurel Lane,2
15,Noah Meier,Female,1981-06-09,noah.meier@web.de,Germany,36253,Juniper Street,18
16,Charlotte Müller,Male,1988-12-20,charlotte.müller@yahoo.com,Germany,86445,Poplar Street,4
17,Christian Williams,-,2002-12-08,christian.williams@yahoo.com,Germany,19227,Beach Street,1
18,Evelyn Adams,Female,1988-04-22,evelyn.adams@gmail.com,Germany,81381,Goethestraße,8
19,Tobias Lewis,Female,2002-12-07,tobias.lewis@gmx.de,Germany,99181,Beach Street,1
20,Michael Lange,Female,1987-04-07,michael.lange@gmx.de,Germany,87295,Serene Lake Lane,20
21,Sophia Jones,Male,1999-04-02,sophia.jones@yahoo.com,Germany,77024,Hidden Creek Road,5
